s.no,address,cityname,state,country,price(in rupees)
1326,910 Fair Oaks Rd,Houston,TX,USA,64335
1327,2206 Thunder Ridge Boulevard,Cedar Falls,IA,USA,61093
1328,2650 26th Ave S,Grand Forks,ND,USA,56937
1329,100 Tree Crossing Parkway,,,USA,55607
1330,215 Raphael,Ames,IA,USA,59846
1331,26123 Bouquet Canyon Rd,Santa Clarita,CA,USA,132576
1332,801 Sugaree Avenue,Austin,TX,USA,118862
1333,,Austin,TX,USA,99661
1334,1230 E 38th St,Austin,TX,USA,99328
1335,10500 S Ih 35,Austin,TX,USA,92679
1336,12403 Mellow Meadow Dr,Austin,TX,USA,81873
1337,19275 Stone Oak Parkway,San Antonio,TX,USA,67410
1338,4242 Via Marina,Marina Del Rey,CA,USA,286764
1339,2320 Marshall Ave,Saint Paul,MN,USA,120940
1340,1146-1152 Magnolia Avenue,Long Beach,CA,USA,115952
1341,Creek's Edge 1124 Rutland Drive,Austin,TX,USA,68990
1342,,Bothell,WA,USA,139725
1343,,Bothell,WA,USA,138727
1344,15 Sumner St,Stoughton,MA,USA,137148
1345,,Renton,WA,USA,107142
1346,12100 Metric Boulevard,Austin,TX,USA,91016
1347,1 Gabriels Bluff Drive,Georgetown,TX,USA,88024
1348,4226 University Ave,Columbus,GA,USA,29092
1349,801 15th St S,Arlington,VA,USA,165076
1350,907 SE Park Crest Ave,Vancouver,WA,USA,81042
1351,1900 Aquarena Springs Drive,San Marcos,TX,USA,77717
1352,5720 Martway St,Mission,KS,USA,73146
1353,1500/1502 35th Avenue SE,Minot,ND,USA,56106
1354,12900 E Loop 1604 N,Universal City,TX,USA,84782
1355,4980 Usaa Boulevard,San Antonio,TX,USA,84117
1356,7314 Oak Manor Dr,San Antonio,TX,USA,59015
1357,2898 Jackson St,San Francisco,CA,USA,332064
1358,50 Station Landing,Medford,MA,USA,173305
1359,4201 Monterey Oaks Boulevard,Austin,TX,USA,89770
1360,,Bellmawr,NJ,USA,73977
1361,4511 Twain Cir  304,Ames,IA,USA,68574
1362,1610 Lombard St,San Francisco,CA,USA,315440
1363,836 Blair Avenue,Sunnyvale,CA,USA,232736
1364,685 Penn Ave,Atlanta,GA,USA,121771
1365,305 East Yager Ln,Austin,TX,USA,82538
1366,,Austin,TX,USA,81707
1367,100 Parkview Ln,Savoy,IL,USA,66496
1368,6009 Creston Avenue,Des Moines,IA,USA,57353
1369,1010 Sugar Lane #801,Palestine,TX,USA,56106
1370,1212 N Walker Avenue,Oklahoma City,OK,USA,92679
1371,3301 Fields South Drive,Champaign,IL,USA,91349
1372,4401 W University Boulevard Unit 649,Dallas,TX,USA,81042
1373,14117 North Rockwell Avenue,Oklahoma City,OK,USA,77135
1374,27 Westminster Avenue,Venice,CA,USA,240632
1375,1718 Esplanade,Redondo Beach,CA,USA,232320
1376,1105 S Barrington Avenue,Los Angeles,CA,USA,199072
1377,308 Standard St,El Segundo,CA,USA,199072
1378,2465 Dexter Avenue N,Seattle,WA,USA,182448
1379,,Renton,WA,USA,172557
1380,962 East 2nd St,Long Beach,CA,USA,166240
1381,1097 Maywood Ln,Martinez,CA,USA,156099
1382,845 Hillsdale Ave Unit 2,San Jose,CA,USA,149616
1383,5724-5730 Morley St,Los Angeles,CA,USA,149616
1384,,Renton,WA,USA,149034
1385,316 N Lamar Boulevard,Austin,TX,USA,148452
1386,4018 Florida St #5,San Diego,CA,USA,140888
1387,807 Sutter St Unit 202,Vallejo,CA,USA,128753
1388,4928 W Martin Luther King Jr Boulevard,Los Angeles,CA,USA,125096
1389,,Long Beach,CA,USA,124264
1390,1249 Griswold St,Detroit,MI,USA,123267
1391,6251 Reseda Boulevard,Reseda,CA,USA,122602
1392,,Silver Spring,MD,USA,121023
1393,,Bedford,TX,USA,120358
1394,300 Parsippany Road,Parsippany,NJ,USA,118446
1395,,Kent,WA,USA,118114
1396,,Kent,WA,USA,118114
1397,,Kent,WA,USA,118114
1398,,Kent,WA,USA,118114
1399,,Edmonds,WA,USA,115620
1400,1568 Eustis St,Saint Paul,MN,USA,114290
1401,1895 Middlesex St,Lowell,MA,USA,103900
1402,3625 SW Baird St,Portland,OR,USA,102154
1403,2740 SW Spring Garden St,Portland,OR,USA,102154
1404,2215 E 51st,Austin,TX,USA,99328
1405,11915 Stonehollow Drive,Austin,TX,USA,99245
1406,5504 Lane Branch,Houston,TX,USA,98497
1407,550 50th Avenue N,Saint Petersburg,FL,USA,95588
1408,444 Kirman Avenue,Reno,NV,USA,95588
1409,Cedar 31 3008 Cedar St 201 W 31st,Austin,TX,USA,94757
1410,6100 Summit Dr N,Brooklyn Center,MN,USA,93842
1411,80 W Maryland Avenue,Phoenix,AZ,USA,91432
1412,128 N B St 1-6,Salt Lake City,UT,USA,91432
1413,1412 Hawthorne,Houston,TX,USA,91016
1414,3305-3307 Jefferson,Cincinnati,OH,USA,87692
1415,4867 Ashford Dunwoody Road,Dunwoody,GA,USA,86362
1416,11547 SW 135th Ave,Tigard,OR,USA,86029
1417,1100 Como Avenue SE,Minneapolis,MN,USA,84367
1418,Second St Station 1015 2nd St NE,Hopkins,MN,USA,83868
1419,,Raynham,MA,USA,82704
1420,,Austin,TX,USA,82289
1421,7319 N Loop 1604 E,San Antonio,TX,USA,81873
1422,4092 Tpc Parkway,San Antonio,TX,USA,81042
1423,15050 N 59th Avenue,Glendale,AZ,USA,81042
1424,948 E Devonshire Ave,Phoenix,AZ,USA,81042
1425,,Austin,TX,USA,81042
1426,8448 W Limelight St,Boise,ID,USA,80626
1427,5870 56th Avenue N,Saint Petersburg,FL,USA,79795
1428,,Somerdale,NJ,USA,76886
1429,1751 West Walker St,League City,TX,USA,75307
1430,4175 And 4205 Neil Rd,Reno,NV,USA,74808
1431,,Somerdale,NJ,USA,74392
1432,110 E 11th Ave,Anchorage,AK,USA,73977
1433,9601 Middle Fiskville,Austin,TX,USA,73146
1434,2401-2411 Saluaris,Cincinnati,OH,USA,70652
1435,603 S 35th Ave,Omaha,NE,USA,70652
1436,200 West Cranford Ave,Valdosta,GA,USA,70652
1437,2215 Victory Parkway,Cincinnati,OH,USA,70652
1438,1433 E McMillan,Cincinnati,OH,USA,70652
1439,628 Park Ave,Omaha,NE,USA,70569
1440,115 East 5460 South,Murray,UT,USA,69405
1441,,Chicago,IL,USA,69405
1442,,Cedar Park,TX,USA,68990
1443,2964/65/66/67/68 S 200 E,Slc,UT,USA,68574
1444,91 28th St,Newport News,VA,USA,66496
1445,2401 W Alta Road,Peoria,IL,USA,66080
1446,1 Valley Dr,Mount Clemens,MI,USA,56106
1447,3100 W 22nd St Building A,Lawrence,KS,USA,52781
1448,4311-4317 Charles,Omaha,NE,USA,51950
1449,,Fairborn,OH,USA,51534
1450,2967 Harrison Road,Paducah,KY,USA,51119
1451,5115 E 47th Place,Tulsa,OK,USA,48625
1452,720 South Second Ave,Sioux Falls,SD,USA,45716
1453,900 Chicon St,Austin,TX,USA,158925
1454,3755 Udall St #201,San Diego,CA,USA,149200
1455,,Renton,WA,USA,107640
1456,4501 E Riverside,Austin,TX,USA,107474
1457,,Colorado Springs,CO,USA,65665
1458,2330 8th Avenue S,Nashville,TN,USA,147954
1459,2240 North Commerce St,Milwaukee,WI,USA,103484
1460,801 C-Bar Ranch Trail,Cedar Park,TX,USA,102321
1461,4301 Grand Ave Parkway,Austin,TX,USA,91681
1462,11115 W 64th Terrace,Shawnee,KS,USA,81042
1463,1316 Town Center Dr,Pflugerville,TX,USA,72979
1464,2323 Piedmont Road,Atlanta,GA,USA,116617
1465,840 E Mulberry Avenue,San Antonio,TX,USA,103069
1466,,Oklahoma City,OK,USA,100991
1467,6103 Manor Road,Austin,TX,USA,81374
1468,2090 Sundance Parkway,New Braunfels,TX,USA,81042
1469,,Rockville,MD,USA,138395
1470,1951 Hunter Road,San Marcos,TX,USA,85198
1471,,Cedar Park,TX,USA,85198
1472,2501 Erin Way,Paragould,AR,USA,48625
1473,3324 Peachtree Road NE #2803,Atlanta,GA,USA,141304
1474,,Monroeville,PA,USA,87276
1475,20202 Cresta Avenida,San Antonio,TX,USA,79380
1476,2401 Farnam St,Omaha,NE,USA,72730
1477,1079 Springhouse Rd,Columbia,SC,USA,51950
1478,11900 Hobby Horse CT,Austin,TX,USA,93094
1479,557 Tramway Boulevard NE,Albuquerque,NM,USA,67743
1480,1103 W Pine Ave,Meridian,ID,USA,53696
1481,1500 Bell Ridge Rd,Johnson City,TN,USA,35326
1482,615 West 7th St,Austin,TX,USA,176630
1483,4330 Bull Creek Road,Austin,TX,USA,126758
1484,500 S Lasalle St,Durham,NC,USA,88772
1485,9400 W Parmer,Austin,TX,USA,80211
1486,3309 Fairmont Drive,Nashville,TN,USA,183030
1487,,South Weymouth,MA,USA,159590
1488,,South Weymouth,MA,USA,147122
1489,,South Weymouth,MA,USA,142966
1490,,Hasbrouck Heights,NJ,USA,125927
1491,380 Mather St,Hamden,CT,USA,124264
1492,,Hasbrouck Heights,NJ,USA,122602
1493,,Long Beach,CA,USA,115952
1494,600 Westinghouse Rd,Georgetown,TX,USA,83951
1495,5347 Blanco Road,San Antonio,TX,USA,57768
1496,770 Greens Road,Houston,TX,USA,46132
1497,1355 Lombard St,San Francisco,CA,USA,349104
1498,,Washington,DC,USA,187020
1499,2728 Cedar Springs Road Apartment 660,Dallas,TX,USA,158344
1500,2401 Aldrich St,Austin,TX,USA,129667
1501,1333 South Shore District,Austin,TX,USA,127174
1502,810 North Loara,Anaheim,CA,USA,125511
1503,2901 East Yorba Linda,Fullerton,CA,USA,122186
1504,Cordary Apts  3 14032 Cordary Ave,Hawthorne,CA,USA,120524
1505,1301 30th St,Boulder,CO,USA,115952
1506,9440 Hoffman Way,Thornton,CO,USA,107973
1507,408 E Healey,Champaign,IL,USA,98082
1508,2202 And 2204 Enfield Road,Austin,TX,USA,96835
1509,2204 Enfield Road,Austin,TX,USA,95588
1510,,Bradenton,FL,USA,88689
1511,16760 Ronald Reagan Boulevard,Leander,TX,USA,86029
1512,6216 Slater,Merriam,KS,USA,79380
1513,2450 Overlook Rd,Cleveland Heights,OH,USA,78964
1514,914 15t St N,Fargo,ND,USA,74392
1515,12800 Center Lake Drive,Austin,TX,USA,73977
1516,525 Jones Avenue,Blanco,TX,USA,73561
1517,605 615 625 W 81st St Suite 100,Sioux Falls,SD,USA,64834
1518,1701-1733 S Katie Avenue,Sioux Falls,SD,USA,63171
1519,1700-1740 S Katie Avenue,Sioux Falls,SD,USA,61509
1520,6050 Melody Lane,Dallas,TX,USA,56355
1521,1315 Bob Pettit Blvd,Baton Rouge,LA,USA,47794
1522,3150 Woodward Avenue,Detroit,MI,USA,248529
1523,14011 Fm 969,Austin,TX,USA,81541
1524,19950 Huebner Rd,San Antonio,TX,USA,71068
1525,1221 S Congress Avenue,Austin,TX,USA,132161
1526,2525 Empire Dr,Richardson,TX,USA,96087
1527,10108 Sales Road S,Lakewood,WA,USA,86860
1528,9125 Highway 6 N,Houston,TX,USA,74476
1529,3838 Williamsburg Way,Columbus,IN,USA,62672
1530,1 Brown St,Philadelphia,PA,USA,131745
1531,12101 N Lamar Boulevard,Austin,TX,USA,105978
1532,739 W William Cannon,Austin,TX,USA,78964
1533,1847 Babcock Rd #101 (210 377-1292,San Antonio,TX,USA,64418
1534,,Lynnwood,WA,USA,131995
1535,12133 Dessau Road,Austin,TX,USA,92679
1536,800 Wolf Ranch Parkway,Georgetown,TX,USA,90601
1537,599 University Boulevard,Round Rock,TX,USA,81873
1538,224 Avenue F,Denton,TX,USA,70569
1539,2610 Stange,Ames,IA,USA,65665
1540,150 Continental St,Anderson,SC,USA,51950
1541,11009 Alterra Parkway,Austin,TX,USA,166074
1542,,Euless,TX,USA,81790
1543,,Euless,TX,USA,73395
1544,924 Minnesota St,San Francisco,CA,USA,286265
1545,770 Skokie Boulevard,Northbrook,IL,USA,135402
1546,1800 Barrett Lakes Boulevard NW,Kennesaw,GA,USA,76387
1547,,Las Vegas,NV,USA,76055
1548,7 Embarcadero West Unit 119,Oakland,CA,USA,191176
1549,2220 East 52nd St,Odessa,TX,USA,106809
1550,33131 1st Ave Southwest,Federal Way,WA,USA,104731
1551,5300 Riata Park Court,Austin,TX,USA,104731
1552,,Chesapeake,VA,USA,93510
1553,214 S Bell Avenue,Denton,TX,USA,80543
1554,20303 Stone Oak Parkway,San Antonio,TX,USA,76886
1555,5208 11th St,Lubbock,TX,USA,57768
1556,10000 Main St Unit #1-309,Bellevue,WA,USA,187020
1557,19702 Bella Loma,San Antonio,TX,USA,94341
1558,2500 S 18th St Cloisters,Saint Louis,MO,USA,83120
1559,720 S 30th St 3017 St Mary's Avenue 3020 Leavenworth St,Omaha,NE,USA,76886
1560,12342 Hunters Chase,Austin,TX,USA,68990
1561,3330-3368 Charlotte,Kansas City,MO,USA,64418
1562,5151 S Utica Avenue,Tulsa,OK,USA,46547
1563,,Washington,DC,USA,181368
1564,1728 Barton Springs Road,Austin,TX,USA,167653
1565,18979 Redland Rd,San Antonio,TX,USA,74725
1566,5600 Babcock Road,San Antonio,TX,USA,74725
1567,,Austin,TX,USA,154603
1568,901 Red River,Austin,TX,USA,135070
1569,4607 Ross Avenue Unit 672,Dallas,TX,USA,115952
1570,600 N Fourth St,Phoenix,AZ,USA,105147
1571,10600 Brezza Ln,Austin,TX,USA,94757
1572,,Dallas,TX,USA,75224
1573,600 Reusens Road,Lynchburg,VA,USA,52781
1574,2529 N Erie St,Toledo,OH,USA,37404
1575,,Los Angeles,CA,USA,232570
1576,939 S Broadway,Los Angeles,CA,USA,216112
1577,3300 Galena Dr,Frederick,MD,USA,131246
1578,,Arlington,VA,USA,128504
1579,9415 McNeil Dr,Austin,TX,USA,82704
1580,1012 W Clark,Urbana,IL,USA,78964
1581,,Lynnwood,WA,USA,134488
1582,6974 Oak Dr,San Antonio,TX,USA,85198
1583,,Arlington,TX,USA,72730
1584,825-835 Pine St,San Francisco,CA,USA,290504
1585,1616 N Lane Brea Ave,Los Angeles,CA,USA,253516
1586,3565 S Sepulveda Blvd,Los Angeles,CA,USA,157512
1587,440 NE 4th Avenue,Fort Lauderdale,FL,USA,156266
1588,109 30th Avenue,Seattle,WA,USA,155850
1589,,Kirkland,WA,USA,147954
1590,17201 E Walsh Way,Aurora,CO,USA,129252
1591,,Marysville,WA,USA,107640
1592,4616 Lindell Boulevard Carleton,Saint Louis,MO,USA,105978
1593,1925 Monroe Dr,Atlanta,GA,USA,103900
1594,5650 Worth Parkway,San Antonio,TX,USA,101406
1595,,Plainsboro,NJ,USA,99744
1596,,Plainsboro,NJ,USA,98913
1597,,Plainsboro,NJ,USA,98913
1598,,Winston Salem,NC,USA,93676
1599,1405 Clearfield,Austin,TX,USA,76055
1600,3235 East Cottle Loop Road,Wasilla,AK,USA,70652
1601,8 South 8th St,Lafayette,IN,USA,69821
1602,118 W Dodridge St A,Columbus,OH,USA,66496
1603,5500 Highland Drive,Little Rock,AR,USA,65997
1604,3322 Tropic Ln #5,Waterloo,IA,USA,57768
1605,401 SE Main St,Grimes,IA,USA,57768
1606,1600 Vogt Drive,West Bend,WI,USA,53612
1607,8901 Bissonnet St,Houston,TX,USA,51534
1608,1819  1835 2nd St SE,Minot,ND,USA,49456
1609,1708 Meadowbrook Dr,Manitowoc,WI,USA,40313
1610,12235 Vance Jackson,San Antonio,TX,USA,79795
1611,,Round Rock,TX,USA,78964
1612,3109 Turnberry CT,Ames,IA,USA,72314
1613,2300 Charlotte Avenue,Nashville,TN,USA,168983
1614,2130 Hawes Avenue Unit 677,Dallas,TX,USA,115620
1615,12041 Dessau Rd,Austin,TX,USA,85364
1616,6800 E Lake Mead Boulevard Unit 1001,Las Vegas,NV,USA,66496
1617,2500-2510 Folsom St,San Francisco,CA,USA,315440
1618,910 West Huron,Chicago,IL,USA,172474
1619,2975 Blackburn St Apartment 678,Dallas,TX,USA,148702
1620,1701 Payne St Unit 678,Dallas,TX,USA,138395
1621,800 West 38th St,Austin,TX,USA,114041
1622,16631 Vance Jackson,San Antonio,TX,USA,83120
1623,104 N Lincoln  809 W Stoughton,Urbana,IL,USA,71483
1624,500 Pointe Parkway Boulevard,Yukon,OK,USA,59597
1625,3707 Manchaca,Austin,TX,USA,105147
1626,8200 North Laurelglen Boulevard,Bakersfield,CA,USA,91016
1627,,Redondo Beach,CA,USA,236061
1628,4511 8th Avenue NE,Seattle,WA,USA,149200
1629,2380 West 76th Avenue,Denver,CO,USA,97998
1630,55 Pharr Road NW,Atlanta,GA,USA,89354
1631,487 Nott St,Schenectady,NY,USA,87276
1632,515 E Slaughter Ln,Austin,TX,USA,86860
1633,1204 Norman St #32,Anchorage,AK,USA,86029
1634,2001 W 80th #09,Anchorage,AK,USA,81042
1635,1111 Warbonnet Way,Las Vegas,NV,USA,81042
1636,5000 Mountain Springs Road,Antioch,TN,USA,78964
1637,1231 Huisache Avenue,New Braunfels,TX,USA,77302
1638,17635 Henderson Pass,San Antonio,TX,USA,75889
1639,,Dallas,OR,USA,66080
1640,,Ansonia,CT,USA,62340
1641,230 Silver Lake Road,Church Hill,TN,USA,47794
1642,7720 Vineyards Lane NE,Bremerton,WA,USA,119693
1643,,Hyattsville,MD,USA,103069
1644,,Hyattsville,MD,USA,97666
1645,,Hyattsville,MD,USA,97666
1646,9801 Stonelake Boulevard,Austin,TX,USA,83536
1647,16350 S Harbor Blvd,Fountain Valley,CA,USA,139226
1648,1311 South Highland Ave,Fullerton,CA,USA,136732
1649,315 North Associated Rd,Brea,CA,USA,134239
1650,7700 Capitol Of TX Highway,Austin,TX,USA,98082
1651,1330 E Chicago Avenue,Naperville,IL,USA,89354
1652,3211 SW Twilight Court,Topeka,KS,USA,52781
1653,9520 Spectrum Drive,Austin,TX,USA,98082
1654,2101 Corona Road,Columbia,MO,USA,91432
1655,10800 Lakeline Boulevard,Austin,TX,USA,84367
1656,13590 Earnshaw St,Overland Park,KS,USA,77135
1657,12408 Dessau Road,Austin,TX,USA,103069
1658,1531 N St,Sacramento,CA,USA,165159
1659,797 N Wall St,Columbus,OH,USA,140888
1660,14960 Sherman Way,Van Nuys,CA,USA,137148
1661,2600 Cole Avenue,Dallas,TX,USA,98082
1662,435 East 200 South,Salt Lake City,UT,USA,87276
1663,12330 Vance Jackson,San Antonio,TX,USA,82954
1664,2004 Sierra Commons Road,Dickinson,ND,USA,70652
1665,10526 Fort Plaza,Omaha,NE,USA,64418
1666,,Hanover,MD,USA,130914
1667,8600 Hwy 71 West,Austin,TX,USA,98497
1668,1100 Kenney Fort Boulevard,Round Rock,TX,USA,93094
1669,2615 Inwood Road Unit 687,Dallas,TX,USA,115537
1670,11340 Alamo Ranch Parkway,San Antonio,TX,USA,83536
1671,1155 E 200 S,Salt Lake City,UT,USA,78881
1672,5826 Harold Way,Los Angeles,CA,USA,201150
1673,900 Singleton Boulevard Unit 688,Dallas,TX,USA,111796
1674,6000 42nd Ave,Hyattsville,MD,USA,109635
1675,2625 Empire Dr,Richardson,TX,USA,99412
1676,,Austin,TX,USA,87276
1677,199 Belmont-MT Holly Road,Belmont,NC,USA,68906
1678,,Derwood,MD,USA,145377
1679,,Derwood,MD,USA,139558
1680,13543 Greenwood Avenue N,Seattle,WA,USA,138810
1681,1011 Wonderworld Drive,San Marcos,TX,USA,89770
1682,12800 Turtle Rock Rd,Austin,TX,USA,79961
1683,8000 John Davis Dr,Frankfort,KY,USA,77052
1684,647 S Main Avenue,Sioux Falls,SD,USA,72730
1685,2221 S Clark St,Arlington,VA,USA,182864
1686,1724 Butler Avenue,Los Angeles,CA,USA,174136
1687,54 Rainey St,Austin,TX,USA,152858
1688,13945 S Beavercreek,Oregon City,OR,USA,99744
1689,15835 Foothill Farms Loop,Pflugerville,TX,USA,80211
1690,33 Lynn Batts,San Antonio,TX,USA,74392
1691,7247 Cameron Rd,Austin,TX,USA,73062
1692,9100 Commerce Dr,De Soto,KS,USA,70652
1693,2626 Thousand Oaks,San Antonio,TX,USA,66496
1694,2614 North University Dr,Nacogdoches,TX,USA,59431
1695,2031 Market St Unit 116,San Pablo,CA,USA,182864
1696,100 Ridgelake Parkway,Nashville,TN,USA,86860
1697,,Washington,DC,USA,191592
1698,211 E Riverside Drive,Austin,TX,USA,147289
1699,3663 Cedar Springs Road Unit 692,Dallas,TX,USA,145044
1700,8021 Fm 620 North,Austin,TX,USA,84782
1701,9801 W Parmer Lane,Austin,TX,USA,83203
1702,13425 N Fm 620,Austin,TX,USA,83120
1703,,Austin,TX,USA,82621
1704,,Austin,TX,USA,81873
1705,1325 And Shoreline,Austin,TX,USA,81374
1706,,Dallas,TX,USA,75473
1707,770 N Ih 35,New Braunfels,TX,USA,74808
1708,,Austin,TX,USA,73977
1709,,Euless,TX,USA,73977
1710,2041 San Sebastian Court,Houston,TX,USA,68906
1711,1050 W Venture Place,Sioux Falls,SD,USA,62340
1712,10900 South Pennsylvania Avenue,Oklahoma City,OK,USA,62008
1713,1136 W 6th St,Los Angeles,CA,USA,205722
1714,2336 SW Osage Unit 202,Portland,OR,USA,132576
1715,11500 Jollyville Road,Austin,TX,USA,81873
1716,1 Dekalb Ave,White Plains,NY,USA,195332
1717,350 N Saint Paul St Unit 694,Dallas,TX,USA,149533
1718,30 N Alboni Place /25 Bonito Avenue,Long Beach,CA,USA,140888
1719,525 E Armour Boulevard,Kansas City,MO,USA,80626
1720,15434 N 32nd St,Phoenix,AZ,USA,76886
1721,218 South Walnut,Ames,IA,USA,68158
1722,5505 Bonner Ave.,North Hollywood,CA,USA,198657
1723,21200 Kittridge St,Woodland Hills,CA,USA,161003
1724,807 West Lynn,Austin,TX,USA,132992
1725,8800 Doral Boulevard,Doral,FL,USA,126758
1726,1420 Key Parkway,Frederick,MD,USA,97832
1727,4624 Cromwell Dr,Kyle,TX,USA,91848
1728,,Norfolk,VA,USA,88523
1729,17840 N Black Canyon Highway,Phoenix,AZ,USA,76055
1730,1011 N Garfield Ave,Pierre,SD,USA,61176
1731,226 8th Avenue SE,Mayville,ND,USA,39482
1732,65 Bay St,Jersey City,NJ,USA,251854
1733,,Washington,DC,USA,185939
1734,,Arlington,VA,USA,149616
1735,129 E Gorham,Madison,WI,USA,137979
1736,12001 Dessau Rd,Austin,TX,USA,76055
1737,121 Howard,Ames,IA,USA,66080
1738,149 N Bagdad Road,Leander,TX,USA,96004
1739,13355 N Highway 183,Austin,TX,USA,96004
1740,,Austin,TX,USA,76886
1741,34 S Erie St,Toledo,OH,USA,69571
1742,1530 Boston CT  1525 Atlanta CT,Santa Rosa,CA,USA,140888
1743,2801 Wells Branch Parkway,Austin,TX,USA,99744
1744,13401 Legendary Dr,Austin,TX,USA,98913
1745,,Norman,OK,USA,55690
1746,1300 4th St,San Francisco,CA,USA,310038
1747,339 Por Lane Mar Cir,Santa Barbara,CA,USA,232736
1748,1590 Oregon St 01-19,Berkeley,CA,USA,203644
1749,734 East 20th St,Oakland,CA,USA,199072
1750,2711 23rd Ave 01-12,Oakland,CA,USA,195332
1751,1917 6th St 01-12,Berkeley,CA,USA,195332
1752,1917 Sixth St 11,Berkeley,CA,USA,195332
1753,1856 East 25th St A-F,Oakland,CA,USA,187020
1754,929 Tamarack Ln,Sunnyvale,CA,USA,174552
1755,3160 Homestead Road #1,Santa Clara,CA,USA,174552
1756,1925 10th Ave 101-306,Oakland,CA,USA,174136
1757,3646 Mentone Avenue,Los Angeles,CA,USA,174136
1758,8929 Guthrie Avenue,Los Angeles,CA,USA,165824
1759,1319 Park Road NW,Washington,DC,USA,160006
1760,92 Hasell St,Charleston,SC,USA,157928
1761,14600 Magnolia Boulevard,Sherman Oaks,CA,USA,149200
1762,11901 East 176th St,Artesia,CA,USA,140888
1763,,Linden,NJ,USA,140390
1764,375 South Randolph Avenue,Brea,CA,USA,134239
1765,82-106 Finderne Ave,Bridgewater,NJ,USA,132992
1766,2800 Franklin Avenue E,Seattle,WA,USA,132992
1767,,Larchmont,NY,USA,132992
1768,1111 18th Avenue,Seattle,WA,USA,132576
1769,,Austin,TX,USA,128337
1770,35 Syndicate St S,Saint Paul,MN,USA,124264
1771,2500 Walsh Tarlton Ln,Austin,TX,USA,122934
1772,,Kent,WA,USA,122602
1773,3631-41 W Dickens Ave,Chicago,IL,USA,118446
1774,,Hawthorne,CA,USA,115952
1775,17512 83rd Place NE,Kenmore,WA,USA,112212
1776,3021 SW Bradford St,Seattle,WA,USA,109718
1777,,Dover,NH,USA,107640
1778,3700 N Paulina,Chicago,IL,USA,105978
1779,,Denver,CO,USA,105978
1780,421-31 W Barry,Chicago,IL,USA,105562
1781,7200 East Evans Ave,Denver,CO,USA,104648
1782,2401 Manor Rd,Austin,TX,USA,99744
1783,6502 N 12th St,Phoenix,AZ,USA,97666
1784,6300 SW 188th Court,Aloha,OR,USA,95588
1785,3800 West Devonshire Ave,Hemet,CA,USA,95172
1786,3501 Terrace Drive,,,USA,94757
1787,625 E Stassney Lane,Austin,TX,USA,91848
1788,1620 Hawthorne,Houston,TX,USA,91016
1789,,Glen Burnie,MD,USA,91016
1790,29 E Norwich Avenue,Columbus,OH,USA,89770
1791,,Denver,CO,USA,88523
1792,,Denver,CO,USA,88523
1793,14614 Vance Jackson,San Antonio,TX,USA,87276
1794,129 Black Rock Avenue 25,Bridgeport,CT,USA,87276
1795,,Manchester,NH,USA,87276
1796,712 Villa Ave,Villa Park,IL,USA,86860
1797,1526 Dresden Dr NE,,,USA,86860
1798,7722 40th St West,University Place,WA,USA,86445
1799,8848 Goodrich Rd,Bloomington,MN,USA,86362
1800,6039 Whitby Road,San Antonio,TX,USA,86029
1801,300 Ferguson Dr,Austin,TX,USA,85614
1802,2475 18th S Avenue,Saint Petersburg,FL,USA,85447
1803,5903 Babcock Road,San Antonio,TX,USA,84367
1804,7300 S Interstate 35,Austin,TX,USA,84284
1805,2202 W North Loop Boulevard,Austin,TX,USA,84034
1806,1225 S Ingram Mill Road,Springfield,MO,USA,82704
1807,3535 Ellwood Avenue,Berkley,MI,USA,82704
1808,,West Hartford,CT,USA,81458
1809,12708 Schroeder Rd,Dallas,TX,USA,81042
1810,2120 Herschel St B,Jacksonville,FL,USA,81042
1811,121 Beach,Ames,IA,USA,80211
1812,2 Johnny Mercer Boulevard,Savannah,GA,USA,80211
1813,11185 Anderson Lakes Parkway,Eden Prairie,MN,USA,80211
1814,330 W Johnson St,Philadelphia,PA,USA,78964
1815,2700 North A W Grimes,Round Rock,TX,USA,78964
1816,3200 N Macgregor Way,Houston,TX,USA,78881
1817,99 W California Avenue #103,Saint Paul,MN,USA,77717
1818,2475-2479 Madison CT,Cincinnati,OH,USA,76886
1819,1983 Drew Valley Rd,,,USA,76886
1820,8524 Burnet Road,Austin,TX,USA,75224
1821,801 Church St,Lynchburg,VA,USA,74392
1822,,Somerdale,NJ,USA,74392
1823,,Albany,NY,USA,72730
1824,809 Avenue G 2,Fort Pierce,FL,USA,70652
1825,5920 Reeds Road,Mission,KS,USA,70652
1826,,Grand Junction,CO,USA,70652
1827,4561 South Whitnall Ave,Saint Francis,WI,USA,69821
1828,315 N 34th St,Omaha,NE,USA,68574
1829,385 Harrison Ave,Upper Darby,PA,USA,68574
1830,8602 Cinnamon Creek Drive,San Antonio,TX,USA,68491
1831,1901 South Park Rd,Kokomo,IN,USA,66496
1832,422/424 N 40th St,Omaha,NE,USA,66080
1833,1016-1026 Park Ave,Omaha,NE,USA,65249
1834,2700 Mary St,Slidell,LA,USA,64418
1835,1140-1144 East 7th St,,,USA,64418
1836,725 S 20th St,Norfolk,NE,USA,62340
1837,2504 Longwood Drive,Metairie,LA,USA,62340
1838,,,,USA,62257
1839,1325 South 30th Ave,Omaha,NE,USA,61924
1840,404 East 12th St,Tulsa,OK,USA,60262
1841,1701 Lobdell Ave. Unit #13,Baton Rouge,LA,USA,60262
